1.000	0.000					
2.000	-0.060					
3.000	0.113					
3.500	0.125					
4.000	0.523					
4.250	0.633					
4.750	0.865					
5.000	0.946					
5.500	0.924					
6.000	0.989					
6.500	0.988					
7.000	1.008					
8.000	1.000					
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
