49.9600	341.2630	50.0100	323.5910	49.9600	179.4780	50.0100	167.8227
50.4700	342.1244	50.5200	325.0667	50.4700	178.6733	50.5200	166.4171
50.9400	342.2848	51.0100	326.7957	50.9400	181.1077	51.0100	166.1085
51.4500	341.8976	51.5000	321.1766	51.4500	178.3176	51.5000	163.8787
51.9600	337.7570	52.0800	317.9088	51.9600	172.4824	52.0800	163.5242
52.4500	338.2046	52.5100	314.5206	52.4500	177.8934	52.5100	164.8940
52.9600	338.9305	53.0000	320.1518	52.9600	171.7009	53.0000	162.7211
53.4600	335.0081	53.4800	315.5600	53.4600	175.9616	53.4800	160.4959
53.9500	329.7326	54.0000	312.6653	53.9500	170.9952	54.0000	161.1906
54.5000	329.7460	54.5200	310.3494	54.5000	169.0561	54.5200	158.3909
54.9700	323.6921	55.0000	302.3135	54.9700	171.7717	55.0000	158.3961
55.4600	324.1945	55.4900	301.6461	55.4600	168.0272	55.4900	156.7337
55.9500	314.9801	56.0100	301.2065	55.9500	167.3892	56.0100	155.3921
56.4800	311.9137	56.5000	293.7514	56.4800	164.5191	56.5000	152.6948
56.9800	303.5469	57.0000	289.6534	56.9800	162.1682	57.0000	151.3717
57.4500	299.9669	57.5000	280.9661	57.4500	156.1927	57.5000	150.8290
58.0100	280.3232	58.0300	268.3843	58.0100	152.5030	58.0300	147.4855
58.4800	274.6026	58.5000	262.5553	58.4800	150.5092	58.5000	142.9369
58.9800	262.6138	59.0200	246.9358	58.9800	143.5704	59.0200	140.4973
59.4800	244.3792	59.5100	233.3921	59.4800	140.5264	59.5100	130.9688
59.9700	232.3556	60.0100	223.0052	59.9700	137.0603	60.0100	129.1165
60.4800	217.8104	60.5200	210.5272	60.4800	130.3174	60.5200	122.4145
60.9800	205.3609	61.0000	199.3009	60.9800	123.8003	61.0000	117.7353
61.4700	199.4507	61.4800	190.2698	61.4700	118.3523	61.4800	114.4362
61.9600	191.7095	62.0200	180.1463	61.9600	117.2668	62.0200	111.8839
62.4700	181.7921	62.5700	176.2346	62.4700	110.4930	62.5700	108.9307
62.9600	178.3974	63.0700	174.5819	62.9600	110.9106	63.0700	106.2090
63.4800	174.3436	63.5200	170.3251	63.4800	108.7537	63.5200	102.8674
63.9600	168.6695	64.0000	163.4094	63.9600	105.3748	64.0000	101.1926
64.4900	166.7636	64.5300	160.9541	64.4900	104.3814	64.5300	100.1165
64.9900	161.5292	65.0300	159.7180	64.9900	104.1225	65.0300	99.7063
65.4600	160.3845	65.5200	155.4034	65.4600	100.2990	65.5200	97.5082
65.9700	159.6378	66.0100	153.5412	65.9700	100.0814	66.0100	96.7069
66.4600	155.9150	66.5300	152.2742	66.4600	99.1876	66.5300	95.4125
66.9700	152.9792	66.9900	149.3362	66.9700	97.5797	66.9900	94.8984
67.4700	153.2410	67.5000	148.0356	67.4700	97.8532	67.5000	95.6641
67.9500	153.4505	68.0000	147.7977	67.9500	96.6178	68.0000	92.3456
68.4900	149.5796	68.5200	141.4633	68.4900	97.1291	68.5200	91.1224
68.9800	147.9128	69.0100	143.5604	68.9800	95.6160	69.0100	92.5448
69.4600	148.2734	69.5300	139.5279	69.4600	94.6436	69.5300	91.4107
69.9600	148.4138	70.0000	138.7958	69.9600	95.2520	70.0000	90.2185
70.5000	144.0335	70.5300	137.7573	70.5000	95.7143	70.5300	89.0388
70.9700	142.9139	71.0000	136.8485	70.9700	91.6180	71.0000	89.0993
71.4800	141.7444	71.5300	134.2787	71.4800	91.6435	71.5300	86.1749
71.9600	144.3126	72.0500	134.4332	71.9600	94.4352	72.0500	87.2280
72.4600	140.0552	72.5000	134.6414	72.4600	89.6343	72.5000	86.1845
72.9800	138.5546	73.0500	132.0703	72.9800	90.2884	73.0500	85.7258
73.4900	141.1471	73.5300	130.0300	73.4900	89.2997	73.5300	84.0122
74.0100	137.0795	74.0200	128.5150	74.0100	89.1325	74.0200	84.1915
74.4700	137.1123	74.6300	126.6484	74.4700	87.4800	74.6300	82.2068
75.0000	134.8685	75.0200	127.5318	75.0000	86.6633	75.0200	81.9147
75.4700	133.5970	75.5800	124.8610	75.4700	86.0018	75.5800	81.3826
